packet_per_cycle,total size,packet,time_stamp,err_count,success_count
84,37612317022,100000018,1600006687,0,99532509
83,37610220399,100000004,1600006703,0,99544002
83,37610142489,100000010,1600006719,0,99543961
83,37610164196,100000016,1600006735,0,99543974
83,37610569958,100000012,1600006751,0,99543978
83,37610292224,100000008,1600006767,0,99543974
82,37610163236,100000008,1600006783,0,99543990
82,37610232358,100000004,1600006799,0,99543996
83,37609698283,100000004,1600006815,0,99543948
82,37610254954,100000012,1600006831,0,99543992
84,37614617616,100000012,1600006847,0,99543992
80,37609818595,100000012,1600006863,0,99543969
80,37610827924,100000004,1600006879,0,99543975
80,37610089749,100000004,1600006895,0,99543952
80,37610192898,100000004,1600006911,0,99544000
