latency(lag),total size,packet,time_stamp,err_count,success_count
5156,37614525865,100000003,1597822282.00,0,99543999
5172,37609884782,100000029,1597822298.00,0,99543984
5185,37610480612,100000032,1597822314.00,0,99544018
5191,37610568057,100000024,1597822330.00,0,99543987
5195,37610141397,100000008,1597822346.00,0,99543964
5198,37610102004,100000032,1597822362.00,0,99544025
5203,37610157262,100000004,1597822378.00,0,99543969
5202,37609882985,100000032,1597822394.00,0,99543985
5208,37609958025,100000028,1597822410.00,0,99544030
5212,37610498247,100000032,1597822426.00,0,99543978
5215,37610579771,100000032,1597822442.00,0,99543974
5217,37610130862,100000008,1597822459.00,0,99544016
5223,37610042557,100000008,1597822475.00,0,99543963
5219,37610282767,100000008,1597822491.00,0,99543964
5220,37609889606,100000032,1597822507.00,0,99544041
5218,37610356103,100000012,1597822523.00,0,99543977
5217,37609604420,100000004,1597822539.00,0,99543975
5228,37610250650,100000024,1597822555.00,0,99543969
5232,37610315808,100000024,1597822571.00,0,99543973
5233,37609958362,100000004,1597822587.00,0,99543957
5231,37609990148,100000004,1597822603.00,0,99543988
5228,37610828427,100000008,1597822619.00,0,99543943
5230,37609844003,100000024,1597822635.00,0,99543955
5239,37610696794,100000004,1597822651.00,0,99544045
5241,37610132064,100000020,1597822667.00,0,99543972
5238,37610384641,100000008,1597822683.00,0,99544016
5233,37610174495,100000008,1597822699.00,0,99543998
5233,37610069334,100000011,1597822715.00,0,99543979
5235,37609949820,100000001,1597822731.00,0,99543978
5236,37610027051,100000028,1597822747.00,0,99544002
5224,37609597486,100000024,1597822763.00,0,99543993
5217,37609835951,100000024,1597822779.00,0,99543990
5220,37610030345,100000032,1597822795.00,0,99543952
5221,37612798969,100000032,1597822812.00,0,99543969
5222,37610593294,100000028,1597822828.00,0,99543956
5228,37610410533,100000012,1597822844.00,0,99543974
5236,37610509471,100000008,1597822860.00,0,99544012
5238,37610142629,100000016,1597822876.00,0,99543978
5238,37610026690,100000032,1597822892.00,0,99544020
5239,37610596027,100000032,1597822908.00,0,99544043
5241,37609964500,100000016,1597822924.00,0,99544000
5246,37610150276,100000004,1597822940.00,0,99543980
5244,37609983270,100000004,1597822956.00,0,99543984
5243,37609853968,100000012,1597822972.00,0,99543951
5241,37609793905,100000012,1597822988.00,0,99543981
5253,37610488871,100000020,1597823004.00,0,99543966
5258,37609808865,100000028,1597823020.00,0,99543971
5258,37610365077,100000028,1597823036.00,0,99544033
5254,37610283107,100000020,1597823052.00,0,99543942
5250,37610452563,100000016,1597823068.00,0,99543976
5251,37610083801,100000024,1597823084.00,0,99544005
5252,37610777188,100000008,1597823100.00,0,99543993
5253,37609951067,100000024,1597823116.00,0,99544015
5254,37610031477,100000012,1597823132.00,0,99543953
5252,37610015759,100000028,1597823148.00,0,99544003
5253,37610041359,100000024,1597823165.00,0,99544028
5250,37609901537,100000008,1597823181.00,0,99543972
5250,37610680593,100000004,1597823197.00,0,99543937
5251,37610097724,100000008,1597823213.00,0,99543967
5250,37610139796,100000019,1597823229.00,0,99544019
5250,37610139471,100000013,1597823245.00,0,99543963
5256,37610106177,100000024,1597823261.00,0,99544016
5253,37609854645,100000032,1597823277.00,0,99544018
5255,37610123895,100000020,1597823293.00,0,99543975
5252,37610214090,100000008,1597823309.00,0,99543961
5252,37610362318,100000004,1597823325.00,0,99543953
5248,37610026007,100000032,1597823341.00,0,99543991
5202,37610232190,100000004,1597823357.00,0,99544009
5186,37610106506,100000004,1597823373.00,0,99543929
5191,37610526089,100000012,1597823389.00,0,99543945
5192,37611714534,100000016,1597823405.00,0,99543988
5193,37610378130,100000004,1597823421.00,0,99544033
5192,37610293720,100000024,1597823437.00,0,99543976
5199,37610268650,100000018,1597823453.00,0,99544014
5197,37609951690,100000022,1597823469.00,0,99544007
5192,37610351573,100000008,1597823485.00,0,99543982
5188,37609841949,100000020,1597823501.00,0,99543994
5189,37609961630,100000032,1597823517.00,0,99543995
5192,37609562744,100000008,1597823534.00,0,99543984
5196,37609822035,100000028,1597823550.00,0,99543972
5190,37610513741,100000028,1597823566.00,0,99543958
5187,37610623970,100000004,1597823582.00,0,99543917
5184,37610465796,100000016,1597823598.00,0,99543977
5178,37610301518,100000004,1597823614.00,0,99544033
5181,37610267633,100000020,1597823630.00,0,99543941
5184,37610168286,100000024,1597823646.00,0,99544030
5189,37610312854,100000016,1597823662.00,0,99544042
5193,37610228382,100000008,1597823678.00,0,99543988
5196,37610104210,100000028,1597823694.00,0,99543990
5196,37609943733,100000024,1597823710.00,0,99543993
5197,37609777505,100000001,1597823726.00,0,99543981
5201,37609875042,100000007,1597823742.00,0,99543972
5203,37609824061,100000020,1597823758.00,0,99543955
5206,37610687111,100000012,1597823774.00,0,99543954
