latency(lag),total size,packet,time_stamp,err_count,success_count
3857,37610560701,100000004,4497.37,0,99543997
3855,37610194614,100000008,4529.49,0,99543996
3855,37610333759,100000004,4561.61,0,99543983
3856,37609803356,100000004,4593.74,0,99543981
3856,37609830179,100000004,4625.86,0,99543964
3860,37610097785,100000004,4657.98,0,99543940
3858,37610549908,100000004,4690.11,0,99543948
3860,37610147535,100000004,4722.23,0,99543982
3856,37610292076,100000004,4754.36,0,99544008
3857,37610212975,100000004,4786.48,0,99543993
3855,37609935250,100000004,4818.61,0,99543975
3856,37609690748,100000001,4850.73,0,99543963
3856,37610577944,100000003,4882.86,0,99543920
3856,37610271707,100000004,4914.98,0,99543992
3856,37610097689,100000004,4947.10,0,99543954
3857,37610447673,100000004,4979.23,0,99544025
3856,37609985315,100000008,5011.35,0,99543966
3857,37609886363,100000004,5043.47,0,99543981
3858,37609751102,100000004,5075.60,0,99543953
3857,37610481000,100000008,5107.72,0,99543938
3856,37610650183,100000003,5139.84,0,99543994
3855,37610229744,100000009,5171.97,0,99543983
3855,37610353526,100000008,5204.09,0,99543997
3856,37609697151,100000010,5236.22,0,99543982
3855,37609819166,100000006,5268.34,0,99543970
3856,37610070361,100000004,5300.47,0,99543938
3856,37610642756,100000004,5332.59,0,99543945
3857,37610244287,100000004,5364.71,0,99543982
3856,37610138002,100000004,5396.84,0,99544015
3855,37610239962,100000004,5428.96,0,99543992
3856,37609982843,100000004,5461.08,0,99543975
3856,37609703157,100000004,5493.21,0,99543967
3855,37610518402,100000008,5525.33,0,99543925
3856,37610320237,100000004,5557.46,0,99543982
3857,37610142116,100000004,5589.58,0,99543970
3856,37610372187,100000008,5621.70,0,99544026
3856,37609953671,100000008,5653.83,0,99543964
3855,37609952155,100000004,5685.95,0,99543973
3857,37609676613,100000004,5718.08,0,99543963
3856,37610545114,100000004,5750.20,0,99543931
3857,37610579210,100000004,5782.33,0,99543993
3858,37610257285,100000004,5814.45,0,99543978
3856,37610368077,100000004,5846.57,0,99543995
3854,37609708995,100000008,5878.69,0,99543975
3849,37609813536,100000004,5910.82,0,99543980
3854,37610053664,100000012,5942.94,0,99543938
3857,37610597275,100000008,5975.06,0,99543952
3854,37610369616,100000008,6007.19,0,99543989
3857,37610126014,100000004,6039.32,0,99544013
