packet_per_cycle,total size,packet,time_stamp,err_count,success_count
5144,37613461007,100000020,1598404613,0,99532499
5153,37610078713,100000028,1598404629,0,99543982
5165,37610595690,100000016,1598404645,0,99543969
5176,37610665814,100000024,1598404661,0,99543989
5178,37609899860,100000008,1598404677,0,99543938
5183,37610585760,100000004,1598404693,0,99544046
5187,37610367401,100000008,1598404709,0,99543998
5190,37609827256,100000020,1598404725,0,99543963
5194,37610261849,100000016,1598404741,0,99544017
5197,37610105780,100000012,1598404757,0,99543989
5195,37610053316,100000028,1598404773,0,99544012
5202,37609854896,100000028,1598404789,0,99544002
5203,37612001675,100000016,1598404805,0,99543966
5204,37610524015,100000016,1598404822,0,99543957
5204,37610038857,100000012,1598404838,0,99543958
5231,37610178850,100000004,1598404854,0,99544010
5209,37610318116,100000008,1598404870,0,99543947
5208,37609770259,100000032,1598404886,0,99544009
5209,37610424129,100000016,1598404902,0,99543978
5209,37610729632,100000008,1598404918,0,99543969
5207,37609844707,100000032,1598404934,0,99544001
5206,37610198489,100000024,1598404950,0,99544024
5214,37610103558,100000024,1598404966,0,99543975
5218,37609769043,100000024,1598404982,0,99543979
5218,37610179713,100000008,1598404998,0,99543985
5218,37610644838,100000024,1598405014,0,99543981
5220,37610292967,100000032,1598405030,0,99543995
5228,37610195317,100000032,1598405046,0,99544037
5217,37609960219,100000032,1598405062,0,99543980
5216,37610452996,100000012,1598405078,0,99543994
5215,37609697324,100000020,1598405094,0,99544016
5219,37610393279,100000020,1598405110,0,99543986
5219,37609700788,100000020,1598405126,0,99543988
5221,37610114109,100000024,1598405142,0,99543963
5225,37610419929,100000024,1598405158,0,99543979
5223,37609766185,100000032,1598405174,0,99543978
5219,37610289874,100000028,1598405191,0,99543997
5222,37610849691,100000024,1598405207,0,99543979
5223,37609964389,100000004,1598405223,0,99543936
5223,37610437283,100000004,1598405239,0,99544029
5221,37610147944,100000020,1598405255,0,99543981
5217,37610453087,100000012,1598405271,0,99544032
5217,37609950761,100000004,1598405287,0,99543991
5215,37610177311,100000020,1598405303,0,99543980
5227,37609905604,100000024,1598405319,0,99544000
5224,37610097803,100000004,1598405335,0,99543979
5227,37609576108,100000016,1598405351,0,99543984
5242,37609852667,100000026,1598405367,0,99543996
5215,37609884611,100000002,1598405383,0,99543917
5217,37611289550,100000016,1598405399,0,99543927
5217,37611518768,100000008,1598405415,0,99543974
5222,37610509244,100000012,1598405431,0,99543996
5228,37610386245,100000008,1598405447,0,99543994
5227,37610324813,100000004,1598405463,0,99543969
5226,37610005200,100000019,1598405479,0,99544016
5226,37610541375,100000022,1598405495,0,99544029
5228,37609828199,100000027,1598405511,0,99544005
5231,37610375436,100000012,1598405527,0,99543989
5233,37609737522,100000016,1598405544,0,99543987
5231,37609871240,100000024,1598405560,0,99543993
