latency(lag),total size,time_stamp
3811,37613400709,16.08
3814,37609652973,32.15
3822,37610750765,48.21
3827,37610319248,64.28
3830,37610663539,80.35
3832,37610398570,96.41
3844,37610192359,112.47
3851,37609962915,128.54
