packet_per_cycle,total size,packet,time_stamp,err_count,success_count
84,37617709631,100000003,2411350172,0,99532499
81,37610008019,100000001,2411366217,0,99543967
84,37614529302,100000008,2411382269,0,99543968
81,37609732838,100000004,2411398314,0,99543966
81,37610163551,100000004,2411414358,0,99543983
81,37610658981,100000016,2411430403,0,99543988
81,37610137081,100000004,2411446448,0,99543951
81,37610250904,100000004,2411462493,0,99543964
81,37610109447,100000004,2411478538,0,99544018
81,37610035906,100000004,2411494583,0,99543925
81,37609607662,100000004,2411510627,0,99543971
81,37610865986,100000010,2411526672,0,99543999
81,37610108421,100000002,2411542717,0,99543942
81,37610639941,100000004,2411558762,0,99544009
81,37609973635,100000004,2411574806,0,99543961
81,37610135877,100000002,2411590851,0,99543984
81,37610100463,100000003,2411606896,0,99543979
82,37610188456,100000003,2411622940,0,99543995
81,37609799431,100000008,2411638985,0,99543965
81,37609714242,100000004,2411655030,0,99543980
81,37610177668,100000008,2411671075,0,99543946
81,37610437265,100000004,2411687120,0,99543948
81,37609731111,100000004,2411703164,0,99543946
81,37610796687,100000004,2411719209,0,99543975
81,37610348930,100000004,2411735254,0,99543945
81,37610124602,100000004,2411751299,0,99543992
81,37610428045,100000004,2411767344,0,99543984
81,37610172830,100000016,2411783388,0,99544014
81,37610278176,100000004,2411799433,0,99544016
81,37610433442,100000008,2411815479,0,99543984
81,37609629950,100000001,2411831524,0,99543958
81,37610197892,100000002,2411847570,0,99543973
81,37609512793,100000005,2411863615,0,99543985
81,37609744089,100000025,2411879660,0,99543988
81,37609951534,100000003,2411895705,0,99543951
81,37610675665,100000004,2411911750,0,99543917
81,37610648221,100000008,2411927795,0,99543942
81,37610124240,100000004,2411943840,0,99543995
81,37610308624,100000004,2411959884,0,99543956
81,37610464042,100000004,2411975929,0,99544030
81,37610141581,100000012,2411991974,0,99543982
81,37610231061,100000020,2412008019,0,99543985
81,37610003915,100000004,2412024064,0,99543998
81,37610234648,100000002,2412040108,0,99543997
81,37609850803,100000010,2412056153,0,99543967
81,37609869091,100000004,2412072198,0,99543982
81,37610056564,100000004,2412088242,0,99543925
81,37610405642,100000008,2412104287,0,99543975
81,37610169306,100000004,2412120332,0,99543968
81,37610087112,100000008,2412136377,0,99543990
81,37609733336,100000004,2412152421,0,99543937
81,37610764471,100000002,2412168466,0,99544000
81,37610280604,100000002,2412184511,0,99543959
81,37610331391,100000004,2412200556,0,99543965
81,37609999829,100000002,2412216601,0,99544003
81,37610326121,100000002,2412232645,0,99543961
81,37609645434,100000016,2412248690,0,99543977
81,37610113667,100000004,2412264735,0,99543992
81,37610217430,100000004,2412280780,0,99543957
81,37610565734,100000004,2412296825,0,99543945
81,37610283233,100000008,2412312870,0,99543996
81,37610182491,100000004,2412328915,0,99543981
81,37609972161,100000004,2412344959,0,99543956
81,37610109104,100000004,2412361004,0,99544008
81,37610193290,100000012,2412377049,0,99543991
81,37609704130,100000004,2412393093,0,99543973
81,37610093202,100000004,2412409138,0,99543938
81,37610573382,100000008,2412425183,0,99543967
81,37609704227,100000004,2412441228,0,99543949
81,37610022500,100000004,2412457273,0,99543981
81,37610791768,100000004,2412473319,0,99543965
81,37610056673,100000004,2412489363,0,99543921
81,37610528130,100000004,2412505408,0,99544024
81,37610070634,100000004,2412521453,0,99543978
81,37610494458,100000004,2412537498,0,99543994
81,37609955991,100000004,2412553542,0,99544001
81,37610330619,100000016,2412569587,0,99543991
81,37609907003,100000004,2412585632,0,99543986
81,37609958621,100000012,2412601676,0,99543986
81,37609745485,100000004,2412617721,0,99543967
81,37609867398,100000004,2412633766,0,99543968
81,37609708739,100000008,2412649811,0,99543927
81,37611113798,100000008,2412665857,0,99543932
81,37609923125,100000004,2412681902,0,99543939
81,37610791950,100000004,2412697947,0,99544023
81,37610209663,100000004,2412713992,0,99543959
81,37610322432,100000004,2412730037,0,99543975
81,37609894830,100000004,2412746082,0,99544000
81,37610685476,100000004,2412762127,0,99544018
81,37609854259,100000004,2412778171,0,99543977
81,37610334254,100000005,2412794216,0,99543973
81,37609597072,100000003,2412810261,0,99543981
81,37609852711,100000012,2412826305,0,99543974
81,37610097262,100000004,2412842350,0,99543964
81,37610310501,100000004,2412858395,0,99543933
81,37610035088,100000018,2412874440,0,99543968
81,37610008694,100000006,2412890484,0,99543998
81,37610526058,100000012,2412906529,0,99543938
81,37610449800,100000008,2412922574,0,99543977
81,37610170350,100000004,2412938619,0,99543988
81,37610425093,100000004,2412954664,0,99544009
81,37610089501,100000004,2412970709,0,99543956
81,37609943375,100000004,2412986754,0,99543965
81,37610073666,100000004,2413002799,0,99544016
81,37609791357,100000008,2413018844,0,99543983
81,37610403653,100000004,2413034889,0,99543949
81,37610529297,100000008,2413050933,0,99543954
81,37610012521,100000004,2413066978,0,99543970
81,37610394500,100000005,2413083023,0,99543994
81,37609683007,100000003,2413099068,0,99543944
81,37610279178,100000004,2413115112,0,99544019
81,37610038097,100000004,2413131157,0,99543989
81,37609995039,100000004,2413147202,0,99543939
81,37610467966,100000004,2413163246,0,99543951
81,37610064119,100000004,2413179291,0,99543961
81,37610078018,100000004,2413195336,0,99543985
81,37610170599,100000004,2413211381,0,99543993
81,37610036535,100000004,2413227425,0,99543905
81,37610510930,100000004,2413243470,0,99543985
